"STATISTIC","Statistic","TLIST(A1)","Year","C02039V02469","Type of Crop","UNIT","VALUE"
"AQA04C2","Crop Yield per Hectare","2015","2015","0122","Spring oats","Tonnes","7.7"
"AQA04C2","Crop Yield per Hectare","2015","2015","013","Total barley","Tonnes","8.6"
"AQA04C2","Crop Yield per Hectare","2015","2015","0131","Winter barley","Tonnes","10.2"
"AQA04C2","Crop Yield per Hectare","2015","2015","0132","Spring barley","Tonnes","7.7"
"AQA04C2","Crop Yield per Hectare","2015","2015","02","Beans and peas","Tonnes","6.5"
"AQA04C2","Crop Yield per Hectare","2015","2015","03","Oilseed rape","Tonnes","4.5"
"AQA04C2","Crop Yield per Hectare","2015","2015","04","Potatoes","Tonnes","42.3"
"AQA04C2","Crop Yield per Hectare","2016","2016","01","Total wheat, oats and barley","Tonnes","8.2"
"AQA04C2","Crop Yield per Hectare","2016","2016","011","Total wheat","Tonnes","9.5"
"AQA04C2","Crop Yield per Hectare","2016","2016","0111","Winter wheat","Tonnes","9.7"
"AQA04C2","Crop Yield per Hectare","2016","2016","0112","Spring wheat","Tonnes","8"
"AQA04C2","Crop Yield per Hectare","2016","2016","012","Total oats","Tonnes","7.9"
"AQA04C2","Crop Yield per Hectare","2016","2016","0121","Winter oats","Tonnes","8.3"
"AQA04C2","Crop Yield per Hectare","2016","2016","0122","Spring oats","Tonnes","7.3"
"AQA04C2","Crop Yield per Hectare","2016","2016","013","Total barley","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2016","2016","0131","Winter barley","Tonnes","8.6"
"AQA04C2","Crop Yield per Hectare","2016","2016","0132","Spring barley","Tonnes","7.3"
"AQA04C2","Crop Yield per Hectare","2016","2016","02","Beans and peas","Tonnes","5.7"
"AQA04C2","Crop Yield per Hectare","2016","2016","03","Oilseed rape","Tonnes","3.5"
"AQA04C2","Crop Yield per Hectare","2016","2016","04","Potatoes","Tonnes","38.9"
"AQA04C2","Crop Yield per Hectare","2017","2017","01","Total wheat, oats and barley","Tonnes","8.8"
"AQA04C2","Crop Yield per Hectare","2017","2017","011","Total wheat","Tonnes","10.2"
"AQA04C2","Crop Yield per Hectare","2017","2017","0111","Winter wheat","Tonnes","10.4"
"AQA04C2","Crop Yield per Hectare","2017","2017","0112","Spring wheat","Tonnes","8.2"
"AQA04C2","Crop Yield per Hectare","2017","2017","012","Total oats","Tonnes","8.4"
"AQA04C2","Crop Yield per Hectare","2017","2017","0121","Winter oats","Tonnes","8.9"
"AQA04C2","Crop Yield per Hectare","2017","2017","0122","Spring oats","Tonnes","7.6"
"AQA04C2","Crop Yield per Hectare","2017","2017","013","Total barley","Tonnes","8.4"
"AQA04C2","Crop Yield per Hectare","2017","2017","0131","Winter barley","Tonnes","9.1"
"AQA04C2","Crop Yield per Hectare","2017","2017","0132","Spring barley","Tonnes","7.9"
"AQA04C2","Crop Yield per Hectare","2017","2017","02","Beans and peas","Tonnes","6.6"
