Year,C02039V02469,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes,crop__Fodder beet,crop__Kale and field cabbage,crop__Oilseed rape,crop__Potatoes,crop__Spring barley,crop__Spring oats,crop__Spring wheat,crop__Sugar beet,crop__Total barley,crop__Total oats,crop__Total wheat,"crop__Total wheat, oats and barley",crop__Turnips,crop__Winter barley,crop__Winter oats,crop__Winter wheat
2020,112,11.5,7.4,85.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020,12,25.4,7.5,189.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,121,8.3,8.2,67.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,122,17.2,7.1,122.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020,13,193.2,7.4,1430.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,131,51.5,8.3,426.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020,132,141.7,7.1,1004.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,2,13.7,4.8,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,10.3,4.4,45.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,8.9,33.8,300.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,274.6,8.9,2457.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,11,62.3,10.6,662.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,111,56.2,10.8,609.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,112,6.1,8.7,52.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021,12,28.4,8.4,238.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,121,13.9,9.1,126.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,122,14.5,7.7,111.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,13,183.9,8.5,1556.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,131,67.5,9.5,638.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,132,116.4,7.9,917.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,2,9.7,5.6,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,3,11.3,4.6,52.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,4,8.9,45.6,407.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,386.2,5.1,1986.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1985,11,77.7,6.4,495.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1985,111,60.3,6.5,395.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985,112,17.4,5.8,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1985,12,24.9,5.1,126.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1985,121,9.1,6.2,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1985,122,15.8,4.4,70.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1985,13,283.6,4.8,1365.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1985,131,35.5,5.2,185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1985,132,248.1,4.8,1179.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1985,2,2.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,3,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,4,32.1,20.8,668.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985,5,8.7,53.5,466.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1985,61,33.9,38.7,1309.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1985,62,5.7,56.8,324.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,3.7,44.2,162.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,362.6,5.2,1880.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1986,11,74.6,5.5,412.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1986,111,57.0,5.6,317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1986,112,17.6,5.4,95.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1986,12,23.0,5.4,124.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1986,121,8.8,6.4,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1986,122,14.2,4.8,68.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1986,13,265.0,5.1,1344.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1986,131,33.9,5.2,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1986,132,231.1,5.0,1167.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1986,2,2.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,3,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,4,29.5,20.3,601.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986,5,8.9,51.6,462.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1986,61,37.0,34.4,1274.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
